Sendung
"1 Europalette mit 17 Kartons und eine kleine Palette mit Pinnwänden 0,8x1,20x1,80m, gesamt 250kg"
"Shipment 2x rvs kasten 120x80x130cm 200kg"
"Cargo deteil 1 plt 1909KG VOL:0.74 CBM 89*89*96*4 Box"
"482KG    20 ctns  lose  1.65CBM 
0.61*0.51*0.41cm 25.51KG  6PCS 
0.58*0.52*0.39cm 23.52KG 14PCS"
"* 1 Rallonge de bras : largeur :1.10m / Longueur : 3.20m / Hauteur : 1.40 m / Poids : 1.5 Tonnes 
* 1 Godet : Largeur : 0.90m / Longueur : 2.20m / Hauteur : 0.80m / Poids : 500Kg "
"Es werden ca 45 Kartons mit einem Gesamtgewicht von ca 600kg."
"Produkt:  Lasten-Dreirad, Elektro-Leichtfahrzeug,
Verpackung:
Art: Holz
Abmessungen: 2550✖️1350✖️1850mm
Gewicht: 360 kg"
"Es soll folgende Sendung transportiert werden (Länge x Breite x Höhe in cm, Gewicht in kg):
2x Pallette 330x120x120, 1300kg
1x Pallette 120x80x80, 300kg
(gesamt 2900kg)"
"Guten Tag Frau Müller,
hiermit möchten wir den folgenden Transport anfragen. Hier die Eckdaten:
·         Abholung von: 4201 Gramastetten
·         Abholzeitpunkt: asap (bis 17:00 geöffnet)
·         Zustellung an: 1230 Wien Metal Interior
·         Öffnungszeiten: 17 uhr
·         Maße, Gewicht: 1 Palette 130x 260x10cm mit 200kg
·      Be- & Entlade-Situation
Metal Interior: Laderampe 1,3m mit Ladebrücke (kein Stapler am Boden!)
BEi Fragen, bitte melden Sie sich bei uns unter der Telefonnummer 0123-4567890.
Mit freundlichen Grüßen,
Frau Gerda Hammel"
"Warenart:
Audio-/Video Equipment
Colli-Anzahl:
5
Rollcolli 1-4:
120 x 80 x 120 cm
Rollcolli 5:
163 x 60 x 140 cm
Gesamtgewicht:
1.135 kg
Lademeter:
2,0 Lademeter"
"Bei dem Material handelt es sich um Messe Equipment, welches insgesamt den Stauraum einer, max. 2 Europaletten einnimmt.
Dementsprechend würde ein kleiner Transporter wahrscheinlich reichen."
"wie soeben telefonisch besprochen möchten wir Sie beauftragen Dokumente/ Kündigungsschreiben für uns zuzustellen:"
"2 FP – Candy – 440kg – 1,20x0,80x1,40"
"Voici les informations :
33 palettes        poids 8 954kg"
"4to, 4 Europaletten.
Ohne Hebebühne, kein ADR."
"Commodity :machine parts
Quantity :13 pallets
Gross weight :1500 kgs
Chargeable weight :3120 kgs
Volume :18.72 CBM
Dimension : 120x100x120 cm @ 13"
"Es handelt sich um insgesamt 7 verpackte Holzbauplatten unterschiedlicher Größe (die größte misst 300 x 80 x 5, alle sind max. 5 cm dick) und einen kleineren Karton.!"
"wir würden gerne einen Bürostuhl von 16866 Kyritz nach 72135 Dettenhausen transportieren.
Dieser ist aber leider nicht auf einer Palette verpackt. Wäre ein  Transport dennoch möglich?
Anbei sende ich Ihnen ein Foto, wie der Stuhl verpackt wurde."
"Laderaumbedarf:
Sattelzug 13,60*2,40*2,20cm / 12.400 kg
 34 Paletten Luftreiniger, Ersatzfilter und Zubehör
120 x 80 x 120 cm, Gewicht pro Palette 150 kg, stapelbar 
Laderaumbedarf:
Sattelzug 13,60*2,40*1,60cm / 21.945 kg
 49 Paletten Desinfektionsmittel
120 x 80 x 160 cm, Gewicht pro Palette 510 - 665 kg"
"Cargo info:
2 Wooden Case/3400 kgs/4 CBM，
 General cargo, non-hazardous, non-stackable
each case dim：200x100x100cm
Goods name: COUPLING/HS CODE : 8483600090"
"Ladevolumen / Loading volume
8,8 Lademeter (22 Europaletten) Kartonagen
Gewicht / Weight
ca. 8 t"
"1 x 2000/3100/2000 - 2600 kg
1 x 3000/1000/800 - 400 kg
(L/B/H) in mm"
"Ladung: 2 x B1 – 120x100x120 – 2.000,00 KG"
"4 pallets:
120x100x200cm 252kg
120x100x200cm 278kg
120x100x200cm 277kg
120x100x175cm 195kg"
"2x 675kg
Palettenmaße ca. Länge 2,5 m x Breite 0,6 m x Hoch 1,7 m"
"6 Cases 83 x 60 x 125   a 130 kg
2 Cases 90 x 57 x 90     a  100 kg
3 Cases 60 x 80 x 75     a   100 kg
1 Case 120 x 60 x 75           100 kg
_____________________________
= 12 Cases       Gesamtgewicht 1380 kg
mit Hebebühne"
"6 Paletten (nicht stapelbar):
80 x 80 x 130 cm - 115.00(kg)
130 x 80 x 135 cm - 260.00(kg)
130 x 80 x 135 cm - 260.00(kg)
130 x 80 x 135 cm - 260.00(kg)
130 x 80 x 135 cm - 260.00(kg)
130 x 80 x 135 cm - 260.00(kg)
Gesamtgewicht: 1415 kg
Warenwert: €3945.00"
"Con il seguente ingombro:
·         2 PALLET 2400X1100X2500H. – PESO 1600 KG.
·         1 PACCO 3000X2100X250H. – PESO 405 KG.
·         1 FASCIO 6200X500X800H. – PESO 1418 KG.
·         1 PALLET 3000X800X800H. – PESO 541 KG.
·         1 PALLET 1200X800X1050H. – PESO 143 KG.
·         1 PALLET 1130X1100X1960H. – PESO 740 KG."
"Aktueller Lieferumfang: 
2 Stück iMac Cases: jeweils 120cm x 90cm x 75cm, 100kg
1 Fernseher: 125cm x 75 cm x 20cm, 15kg
1 Leuchtmittel: 95cm x 95cm x 20cm, 8kg
1 Teppich: 200m x 40cm, 10kg
4 Boxen L: jeweils 45cm x 55cm x 40cm, 5kg"
"8 Stellplätze – 1,2 to. Warenwert: 8.000,- Euro – Großer Transporter"
